kind,address,name,file,line,votes,detail
callee-kept,0078de00,e_ModelSetLocationPrivate (e_ModelSetLocationPrivate),,,4/4,"from 00470609: e_ModelSetLocationPrivate( nModelID; pmatWorld; vPosition; SortType; bForce )"
callee-kept,004cf635,c_WardrobeDowngradeLOD (c_WardrobeDowngradeLOD),,,1/1,"from 004d189b: c_WardrobeDowngradeLOD( pWardrobe->nId )"
callee-kept,00788e02,dxC_AssembleLightsPoint (dxC_AssembleLightsPoint),,,3/3,"from 007c5e83: dxC_AssembleLightsPoint( pModel; tLights )"
callee-kept,0078c603,dxC_IndexBufferGetSizeInMemory (dxC_IndexBufferGetSizeInMemory),,,2/2,"from 0079272d: dxC_IndexBufferGetSizeInMemory( tBuffer.nD3DBufferID; &dwBytes )"
callee-kept,007d8203,dxC_CopyBackbufferToTexture (dxC_CopyBackbufferToTexture),,,3/4,"from 00786902: dxC_CopyBackbufferToTexture( dxC_RTResourceGet( nDestRT ); 0; 0 )"
callee-kept,007a5204,e_ScreenFXGetNonStateEffect (e_ScreenFXGetNonStateEffect),,,2/2,"from 0043ea20: e_ScreenFXGetNonStateEffect( i; 0; 0 )"
callee-kept,0077fef4,sValidateTechnique (sValidateTechnique),,,1/1,"from 0077ff08: sValidateTechnique( pEffect; hTechniqueFirst )"
callee-kept,007d2af8,dxC_PushClipPlane (dxC_PushClipPlane),,,2/2,"from 007d2240: dxC_PushClipPlane( &tPlane )"
callee-kept,0079aeff,e_AddTextureUsedStats (e_AddTextureUsedStats),,,3/3,"from 00508c2e: e_AddTextureUsedStats( -1; -1; nTextureCount; nTextureMB )"
callee-kept,007eaaf6,e_DPVS_CreateCullingPhysicalPortalPair (e_DPVS_CreateCullingPhysicalPortalPair),,,1/1,"from 007a8a23: e_DPVS_CreateCullingPhysicalPortalPair( tPortal[0]; tPortal[1]; pvCorners1; pvCorners2; nCorners; vNormal1; vNormal2; pCell[0]; pCell[1]; pmWorldInv1; pmWorldInv2 )"
callee-kept,007822f0,sGetEffectLOD (sGetEffectLOD),,,2/2,"from 007822f0: sGetEffectLOD( nEffectID; pEffect; fTransitionStr; fDist; pOptionState; nRecursions + 1 )"
callee-kept,0077eafe,e_AdInstanceUpdateTransform (e_AdInstanceUpdateTransform),,,1/1,"from 0078dbaf: e_AdInstanceUpdateTransform( pModel->pnAdObjectInstances[ pAdObjDef->nIndex ]; pAdObjDef; &pModel->matScaledWorld )"
callee-kept,00784ef1,dx9_SHCoefsScale (dx9_SHCoefsScale),,,6/6,"from 00784714: dx9_SHCoefsScale( &tSplitCoefs; &ptPointCoefs[ ptMeshLights->nRealLights ]; ptMeshLights->fSplitSHStr )"
callee-kept,007d6ef6,dxC_SetRenderTargetWithDepthStencil (dxC_SetRenderTargetWithDepthStencil),,,5/5,"from 007b3b50: dxC_SetRenderTargetWithDepthStencil( (RENDER_TARGET_INDEX)pCommand->nID; (DEPTH_TARGET_INDEX)pCommand->nData )"
callee-kept,007922f5,dx9_ModelDefinitionRestore (dx9_ModelDefinitionRestore),,,2/2,"from 00790574: dx9_ModelDefinitionRestore(model_definition; bZeroLocalPointer)"
callee-kept,007a86f7,e_RegionAdd (e_RegionAdd),,,2/2,"from 004e2e73: e_RegionAdd( pSubLevel->nEngineRegion )"
callee-kept,007e16f0,dxC_MeshListGet (dxC_MeshListGet),,,6/6,"from 007e072b: dxC_MeshListGet( pRC->nMeshListID; pMeshList )"
callee-kept,00788ef7,dxC_AssembleLightsGlobalPoint (dxC_AssembleLightsGlobalPoint),,,2/2,"from 007c5e83: dxC_AssembleLightsGlobalPoint( pModel; tLights )"
callee-kept,007b16e9,e_UIWriteElementQuadStrip (e_UIWriteElementQuadStrip),,,1/1,"from 004ff302: e_UIWriteElementQuadStrip( prim->m_nLocalBuffer; tPoints; element->m_fZDelta; dwColor )"
callee-kept,007746e2,dx9_GetAnimatedVertexBuffer (dx9_GetAnimatedVertexBuffer),,,3/3,"from 00775b33: dx9_GetAnimatedVertexBuffer ( pMesh; pVertexBufferDef; pGrannySkeleton; pnBoneMappingGrannyToHavok; pmInverseSkinTransform; &tModelDefinition.tRenderBoundingBox; &bBoundingBoxStarted )"
callee-kept,007d26ea,dxC_SetBones (dxC_SetBones),,,5/5,"from 007c7239: dxC_SetBones ( pModel; nMesh; nLOD; pEffect; tTechnique )"
callee-kept,0077b6e0,dx9_CreateDevice (dx9_CreateDevice),,,1/1,"from 0077b809: dx9_CreateDevice( pState; hWnd; nBehaviorFlags; &gpDevice)"
callee-kept,007cdae5,dxC_RenderMeshBehind (dxC_RenderMeshBehind),,,1/1,"from 007e072b: dxC_RenderMeshBehind( *(i->pMeshDraw) )"
callee-kept,004d32d7,c_sWardrobeModelLoad (c_sWardrobeModelLoad),,,4/4,"from 004cddf7: c_sWardrobeModelLoad( pGame; nAppearanceDefId; pWardrobeModel; nLOD )"
conflict,00418edb,FUN_00418edb,,,2,{LevelsAppearAroundHubs=1; levelAreaThemesGeneric=1}
callee-kept,007a86e1,e_RegionGetCell (e_RegionGetCell),,,4/4,"from 0046c379: e_RegionGetCell( e_GetCurrentRegionID(); nCullCell )"
callee-kept,007816e7,dx9_EffectSetFloatArray (dx9_EffectSetFloatArray),,,2/2,"from 00782d96: dx9_EffectSetFloatArray( pEffect; tTechnique; EFFECT_PARAM_SCROLL_ACTIVE; pMaterial->fScrollAmt; 7 )"
callee-kept,00785ada,RemoveInstance (RemoveInstance),,,1/1,"from 00785d20: RemoveInstance( i )"
callee-kept,0078f2df,e_ModelSetEnvironmentOverride (e_ModelSetEnvironmentOverride),,,1/1,"from 0052b0d7: e_ModelSetEnvironmentOverride( tData.nModelId; nEnvDefId )"
callee-kept,007c46d4,SetDimensions (SetDimensions),,,1/1,"from 007c566f: SetDimensions( tBBox )"
conflict,0041b2e9,FUN_0041b2e9,,,12,{levelAreaSection5ThemeQuestTasks=1; levelAreaSection1Themes=1; levelAreaSection4Themes=1; levelAreaSection5Themes=1; levelAreaSection2Themes=1; levelAreaSection1ThemeQuestTasks=1; levelAreaSection4ThemeQuestTasks=1; levelAreaSection3ThemeQuestTasks=1; levelAreaSection2ThemeQuestTasks=1; levelAreaThemesGenericProps=1; levelAreaThemeGenericQuestTasks=1; levelAreaSection3Themes=1}
callee-kept,007d6ed4,dxC_SetRenderTargetWithDepthStencil (dxC_SetRenderTargetWithDepthStencil),,,18/18,"from 0077999b: dxC_SetRenderTargetWithDepthStencil( SWAP_RT_BACKBUFFER; eDT )"
callee-kept,007a66d6,dxC_ViewParametersStackPush (dxC_ViewParametersStackPush),,,2/2,"from 007a715e: dxC_ViewParametersStackPush( nViewParams )"
callee-kept,0078d6d4,dx9_ModelClearPerMeshDataForDefinition (dx9_ModelClearPerMeshDataForDefinition),,,3/3,"from 007924e6: dx9_ModelClearPerMeshDataForDefinition( nFirstId )"
callee-kept,007a5ad6,e_MaterialNew (e_MaterialNew),,,7/7,"from 0043de34: e_MaterialNew( &pDef->nID; pDef->szMaterial )"
callee-kept,007eb2d1,dxC_DPVS_ModelUpdate (dxC_DPVS_ModelUpdate),,,1/1,"from 0078dc57: dxC_DPVS_ModelUpdate( pModel )"
callee-kept,0077f6c7,dxC_CreateEffectFromFileInMemory (dxC_CreateEffectFromFileInMemory),,,1/1,"from 00780154: dxC_CreateEffectFromFileInMemory( pFileData; nDataLen; pEffect->pszFXFileName; &pEffect->pD3DEffect.p; &pErrorBuffer )"
callee-kept,007af2ca,e_UIPrimitiveDrawBuffersFree (e_UIPrimitiveDrawBuffersFree),,,1/1,"from 004ff7a5: e_UIPrimitiveDrawBuffersFree( prim->m_nEngineBuffer; prim->m_nLocalBuffer )"
callee-kept,0079d2cc,sSaveTexture (sSaveTexture),,,1/1,"from 0079b598: sSaveTexture( pTexture->pD3DTexture; pszD3DTextureFileName; D3DXIFF_DDS; 1 )"
callee-kept,007c2eca,Prealloc (Prealloc),,,1/1,"from 007c2d8a: Prealloc( eType; nNewAlloc )"
callee-kept,007ad6cd,e_PrimitiveAddBox (e_PrimitiveAddBox),,,1/1,"from 007f24f2: e_PrimitiveAddBox( (DWORD)(1 << (2)); &mOBB; 0xff3fff3f )"
callee-kept,0077c2cf,dxC_GetD3DDisplayMode (dxC_GetD3DDisplayMode),,,2/2,"from 0078a2aa: dxC_GetD3DDisplayMode( tDesktopMode )"
callee-kept,007816c1,dx9_EffectSetTexture (dx9_EffectSetTexture),,,21/21,"from 00785f66: dx9_EffectSetTexture( pEffect; tTechnique; EFFECT_PARAM_SCREENFX_TEXTURE0; pTexture->GetShaderResourceView() )"
callee-kept,00796ac3,e_WardrobeSetTexture (e_WardrobeSetTexture),,,1/1,"from 004cf8bd: e_WardrobeSetTexture( tCostume.nModelDefinitionId; nLOD; *pnCanvasTextureId; eLayerTextureType; nTextureIndex )"
callee-kept,00784ac3,sEffectSetSHLightingParams (sEffectSetSHLightingParams),,,1/1,"from 007837c7: sEffectSetSHLightingParams( pModel; pEffect; pEffectDef; tTechnique; pEnvDef; ptLights->tSHCoefsPointLights_O3; ptLights->tSHCoefsBase_O3; ptMeshLights; bForceCurrentEnv )"
callee-kept,0078f2c4,e_ModelRemoveAllMaterialOverrides (e_ModelRemoveAllMaterialOverrides),,,2/2,"from 004cfff8: e_ModelRemoveAllMaterialOverrides( pAttachmentOld->nAttachedId )"
callee-kept,007832c6,sEffectSetSHCoefs (sEffectSetSHCoefs),,,1/1,"from 00784714: sEffectSetSHCoefs( pEffect; tTechnique; &tCoefs )"
callee-kept,0079a6c7,dxC_Get2DTextureDesc (dxC_Get2DTextureDesc),,,14/14,"from 00779890: dxC_Get2DTextureDesc( pTexture; (UINT)DebugKeyGetValue(); &tDesc )"
callee-kept,007c86bc,dx9_Render2DAABB (dx9_Render2DAABB),,,1/1,"from 007c8629: dx9_Render2DAABB( &pAABB->tBBox; 1; 0; pAABB->dwColor )"
callee-kept,00791ab9,e_ModelDefinitionStripLODFileName (e_ModelDefinitionStripLODFileName),,,4/4,"from 0046ec13: e_ModelDefinitionStripLODFileName( szFilePath; 256; pszFilePath )"
callee-kept,007e9abf,e_SRGBToLinear (e_SRGBToLinear),,,3/3,"from 007814fa: e_SRGBToLinear( (VECTOR*)pNew )"
callee-kept,007822bd,dxC_ToolLoadShaderNow (dxC_ToolLoadShaderNow),,,6/6,"from 0078247f: dxC_ToolLoadShaderNow( pEffect; pMaterial; nShaderType )"
callee-kept,007876be,e_OptionState_CommitToActive (e_OptionState_CommitToActive),,,11/11,"from 00438b54: e_OptionState_CommitToActive(pOverrideState)"
callee-kept,0078e2b0,dxC_ModelUpdateVisibilityToken (dxC_ModelUpdateVisibilityToken),,,1/1,"from 007a6fbd: dxC_ModelUpdateVisibilityToken( pModel )"
callee-kept,0077eabd,e_AdInstanceFreeAd (e_AdInstanceFreeAd),,,3/3,"from 004cb396: e_AdInstanceFreeAd( pInstance->nId )"
callee-kept,007b8ab1,e_ParticleSystemLoadGPUSimTextures (e_ParticleSystemLoadGPUSimTextures),,,1/1,"from 0049f33f: e_ParticleSystemLoadGPUSimTextures( pDefinition )"
callee-kept,007e52b3,dxC_UpdateBuffer (dxC_UpdateBuffer),,,8/8,"from 0078fcda: dxC_UpdateBuffer( pMesh->tIndexBufferDef; pMesh->tIndexBufferDef.pLocalData; 0; pMesh->tIndexBufferDef.nBufferSize )"
callee-kept,007802b5,sAllocateTechniqueArray (sAllocateTechniqueArray),,,1/1,"from 00780b42: sAllocateTechniqueArray( pEffect; tEffectDesc )"
callee-kept,004ace84,sOutdoorNewFindLastRoom (sOutdoorNewFindLastRoom),,,1/1,"from 004ad320: sOutdoorNewFindLastRoom( tStart; tEnd; pLevel )"
callee-kept,007d6ead,dxC_EffectGetTechniqueByFeatures (dxC_EffectGetTechniqueByFeatures),,,1/1,"from 007c9d5a: dxC_EffectGetTechniqueByFeatures( pEffect; tFeat; &pTech )"
callee-kept,004abe9a,sPathNodeIterateConnections (sPathNodeIterateConnections),,,1/1,"from 004ac009: sPathNodeIterateConnections( pStartRoom; pStartNode )"
callee-kept,0078a2aa,dxC_FindWorkingFullscreenResolution (dxC_FindWorkingFullscreenResolution),,,2/2,"from 0078a41e: dxC_FindWorkingFullscreenResolution( tFmt; tMode; pState )"
callee-kept,007962aa,e_WardrobeTextureAllocateBaseCanvas (e_WardrobeTextureAllocateBaseCanvas),,,1/1,"from 004cf8bd: e_WardrobeTextureAllocateBaseCanvas( *pnCanvasTextureId; eLayerTextureType; dwTextureFlags )"
callee-kept,007856ad,dxC_VertexBufferDestroy (dxC_VertexBufferDestroy),,,12/12,"from 007bf0c9: dxC_VertexBufferDestroy( pMovieRes->tVBDef.nD3DBufferID[i] )"
callee-kept,007c7eaa,sUpdateMeshDrawOptions (sUpdateMeshDrawOptions),,,4/4,"from 007cc025: sUpdateMeshDrawOptions( dwMeshFlagsDoDraw; dwMeshFlagsDontDraw; bLights; fDistanceToEyeSquared; pEnvDef; bForceCurrentEnv )"
callee-kept,007be6ad,sCreateDrawTextures (sCreateDrawTextures),,,2/2,"from 007be7ec: sCreateDrawTextures( pMovieRes )"
callee-kept,007ad6ad,e_PrimitiveAddBox (e_PrimitiveAddBox),,,5/5,"from 0077eb69: e_PrimitiveAddBox( (DWORD)(1 << (2)); &tBBox; 0xff00ffff )"
callee-kept,007ccea4,dxC_ModelDrawAddMesh (dxC_ModelDrawAddMesh),,,2/2,"from 007ef38b: dxC_ModelDrawAddMesh( *pMeshList; tContext; *pModelDraw; pVM->nMesh; pVM->eMatOverrideType; tRPD.dwPassFlags )"
callee-kept,0078daa0,sUpdateModelLightsFromDefinition (sUpdateModelLightsFromDefinition),,,5/5,"from 0078de00: sUpdateModelLightsFromDefinition( pModel; pSharedModelDef )"
callee-kept,007b52a1,e_ParticlesDrawBasic (e_ParticlesDrawBasic),,,10/10,"from 004a8418: e_ParticlesDrawBasic( tDrawInfo; 0; bDepthOnly )"
callee-kept,007a66a6,dxC_ViewParametersGet (dxC_ViewParametersGet),,,6/6,"from 007a6e41: dxC_ViewParametersGet( nViewParams; pVP )"
callee-kept,0079aea7,dxC_CreateCubeTexture (dxC_CreateCubeTexture),,,2/2,"from 0079e173: dxC_CreateCubeTexture( nSize; nMIPLevels; tUsagePool; tFormat; &pCubeTexture->pD3DTexture )"
callee-kept,007daaa3,dx9_SaveAutoDepthStencil (dx9_SaveAutoDepthStencil),,,2/2,"from 0077ba49: dx9_SaveAutoDepthStencil( 0 )"
callee-kept,007d269f,dxC_SetViewport (dxC_SetViewport),,,3/3,"from 007d1f72: dxC_SetViewport( tVP )"
callee-kept,00784e9d,dx9_SHCoefsAdd (dx9_SHCoefsAdd),,,4/4,"from 00784714: dx9_SHCoefsAdd( &tCoefs; &tCoefs; &ptPointCoefs[ i ] )"
callee-kept,007d1a9b,dxC_SetStreamSource (dxC_SetStreamSource),,,4/4,"from 007db373: dxC_SetStreamSource( i; 0; 0; 0 )"
callee-kept,007bee93,sCreateVB (sCreateVB),,,2/2,"from 007bf31a: sCreateVB( pMovieRes )"
callee-kept,0078ce91,dxC_GetModelRenderAABBInWorld (dxC_GetModelRenderAABBInWorld),,,6/8,"from 00788ef7: dxC_GetModelRenderAABBInWorld( pModel; &tModelBBox_W )"
callee-kept,007aee96,e_UIEngineBufferRestoreResize (e_UIEngineBufferRestoreResize),,,1/1,"from 007aed8a: e_UIEngineBufferRestoreResize( nEngineBufferID; nLocalBufferID; bDynamic; bForce )"
callee-kept,0077d69b,sReaperPruneModels (sReaperPruneModels),,,1/1,"from 0077da4b: sReaperPruneModels( dwInactiveTime; fPruneDistance )"
callee-kept,00792296,e_ModelInitSelfIlluminationPhases (e_ModelInitSelfIlluminationPhases),,,2/2,"from 0078d0a5: e_ModelInitSelfIlluminationPhases( nModelId )"
callee-kept,007c428d,e_AutomapPrealloc (e_AutomapPrealloc),,,1/1,"from 005d570e: e_AutomapPrealloc( nAutomapID; nPolys )"
callee-kept,0077f684,dxC_GetFullShaderPath (dxC_GetFullShaderPath),,,1/1,"from 00780e61: dxC_GetFullShaderPath( szFullFilename; pszFXFileName; eFolder; eSubFolder )"
callee-kept,00774684,e_AnimatedModelDefinitionNewFromWardrobe (e_AnimatedModelDefinitionNewFromWardrobe),,,1/1,"from 004cddf7: e_AnimatedModelDefinitionNewFromWardrobe( tCostume.nModelDefinitionId; nLOD; pWardrobeModel )"
callee-kept,007e168a,dxC_MeshListAddMesh (dxC_MeshListAddMesh),,,1/1,"from 007ccea4: dxC_MeshListAddMesh( tMeshList; tMeshDraw )"
callee-kept,0078ea81,sModelResolvePendingTextureOverrides (sModelResolvePendingTextureOverrides),,,2/2,"from 0078d0a5: sModelResolvePendingTextureOverrides( pModel )"
callee-kept,0079a684,dxC_Get2DTextureDesc (dxC_Get2DTextureDesc),,,8/8,"from 0077991a: dxC_Get2DTextureDesc( dxC_DebugTextureGetShaderResource(); 0; &tDesc )"
callee-kept,007c7682,sSetGeneralMeshStates (sSetGeneralMeshStates),,,2/2,"from 007cc025: sSetGeneralMeshStates( pModel; pModelDefinition; pMesh; nMesh; nLOD; pState; pEffect; pEffectDef; *ptTechnique; pMaterial; bAlphaAsLighting )"
callee-kept,007eda81,sAssembleVertexBuffers (sAssembleVertexBuffers),,,1/1,"from 007ee0f1: sAssembleVertexBuffers( tContext; tData )"
callee-kept,007c5e83,sSetPointLightEffectParameters (sSetPointLightEffectParameters),,,1/1,"from 007c64f6: sSetPointLightEffectParameters( pModel; pState; pEffect; pEffectDef; tTechnique; fEffectTransitionStr; tLights; tMeshLights )"
callee-kept,007ad77a,e_PrimitiveAddSphere (e_PrimitiveAddSphere),,,3/3,"from 00787bb8: e_PrimitiveAddSphere( dwFlags; &pLight->vPosition; pLight->fFalloffEnd; dwColor )"
callee-kept,007d6b7f,dxC_RTSetDirty (dxC_RTSetDirty),,,4/4,"from 00786902: dxC_RTSetDirty( nDestRT )"
callee-kept,007e2f7d,dxC_ShadowBufferSetDirectionalLightParams (dxC_ShadowBufferSetDirectionalLightParams),,,1/1,"from 007e3d05: dxC_ShadowBufferSetDirectionalLightParams( pShadow; vFocus; vDir; fScale )"
callee-kept,007ee37a,dxC_ObscuranceComputeForModelDefinition (dxC_ObscuranceComputeForModelDefinition),,,1/1,"from 007ab301: dxC_ObscuranceComputeForModelDefinition( ppMeshDefs; &tModelDefinition; 0 )"
callee-kept,0078ff71,dx9_MeshUpdateMaterialVersion (dx9_MeshUpdateMaterialVersion),,,2/3,"from 0078eb90: e_MeshUpdateMaterialVersion( nModelDef; nLOD; nMeshIndex )"
callee-kept,00789f71,dx9_SHCoefsAddPointLight (dx9_SHCoefsAddPointLight),,,2/2,"from 00789d7f: dx9_SHCoefsAddPointLight( &tBaseCoefs; *(VECTOR4*)&ptLights->pvSHLightColors[ i ]; vCenterWorld; *(VECTOR3*)&ptLights->pvSHLightPos[ i ] )"
callee-kept,00796372,e_WardrobeTextureMakeBaseCanvas (e_WardrobeTextureMakeBaseCanvas),,,2/2,"from 004cf8bd: e_WardrobeTextureMakeBaseCanvas( *pnCanvasTextureId; bBaseRGBLoadFailed ? ((DWORD)-1) : nBaseRGB; eLayerTextureType; bBaseRGBLoadFailed; nCanvasWidth; nCanvasHeight )"
callee-kept,00795f77,sMakeBaseCanvasCompressed (sMakeBaseCanvasCompressed),,,1/1,"from 00796372: sMakeBaseCanvasCompressed( tCanvasLocked; tLayerRGBLocked; pCanvas; pLayerRGB; nLevel; eTextureType; nMipBonus )"
callee-kept,007db373,dx9_RestoreD3DStates (dx9_RestoreD3DStates),,,3/3,"from 0077c686: dx9_RestoreD3DStates( 1 )"
callee-kept,007d1f72,dxC_ResetViewport (dxC_ResetViewport),,,3/3,"from 007c1961: dxC_ResetViewport( 1 )"
callee-kept,007c6f6d,sSetMeshTextures (sSetMeshTextures),,,2/2,"from 007cc025: sSetMeshTextures( pModel; nMesh; pMesh; pModelDefinition; pEffect; *ptTechnique; pMaterial; pEnvDef; nLOD)"
callee-kept,007f2f6c,GetStopIndex (GetStopIndex),,,2/2,"from 007f30be: GetStopIndex(nStopName; nIndex)"
callee-kept,007c436f,e_AutomapRenderGenerate (e_AutomapRenderGenerate),,,1/1,"from 0077a311: e_AutomapRenderGenerate( pRegion->nAutomapID )"
callee-kept,0079976c,dxC_MapTexture (dxC_MapTexture),,,7/7,"from 00795e23: dxC_MapTexture( pCanvas->pD3DTexture; nLevel; &tLRCanvas; false )"
callee-kept,007ad36f,e_PrimitiveAddLine (e_PrimitiveAddLine),,,42/42,"from 0077eb69: e_PrimitiveAddLine( (DWORD)(1 << (2)); &pData->vCenterWorld; &vEnd; 0xff00ffff )"
callee-kept,007ebf65,sObscuranceGetEffect (sObscuranceGetEffect),,,1/1,"from 007ed112: sObscuranceGetEffect( &pEffect; &ptTechnique )"
callee-kept,007c3f60,e_AutomapCreate (e_AutomapCreate),,,1/1,"from 007a86f7: e_AutomapCreate( nRegionID; bIsPvP )"
callee-kept,00778b6b,dxC_SetRenderState (dxC_SetRenderState),,,92/110,"from 0078b187: dxC_SetRenderState( D3DRS_FOGENABLE; bValue; bForce )"
callee-kept,0078e366,dxC_ModelSetDistanceAlpha (dxC_ModelSetDistanceAlpha),,,1/1,"from 007a6c64: dxC_ModelSetDistanceAlpha( tVisMesh.pModel; fDistanceAlpha )"
callee-kept,00785f66,sScreenEffectSetEffectParams (sScreenEffectSetEffectParams),,,1/1,"from 00786224: sScreenEffectSetEffectParams( fTransition; pScreenEffect; pEffect; tTechnique )"
callee-kept,0077eb69,e_AdInstanceDebugRenderInfo (e_AdInstanceDebugRenderInfo),,,1/1,"from 0077f015: e_AdInstanceDebugRenderInfo( pData->nId )"
callee-kept,007e1f5e,dx9_SetOccluded (dx9_SetOccluded),,,1/1,"from 007e2306: dx9_SetOccluded( pOcclusion; 0; nDebugModelID )"
callee-kept,007a575e,e_MaterialRestore (e_MaterialRestore),,,1/1,"from 007a5af7: e_MaterialRestore( pDef )"
callee-kept,007b0f5e,e_UIWriteRotatedFrame (e_UIWriteRotatedFrame),,,1/1,"from 004fe9e2: e_UIWriteRotatedFrame( texture->m_nLocalBuffer; drawrect; frame->m_fWidth / texture->m_pTexture->m_XMLWidthRatio; frame->m_fHeight / texture->m_pTexture->m_XMLHeightRatio; texrect; element->m_fZDelta; dwColor; fRotateCenterX; fRotateCenterY; pFrameElement->m_fAngle )"
callee-kept,007c7b5a,sGetEffectAndTechnique (sGetEffectAndTechnique),,,2/2,"from 007cc025: sGetEffectAndTechnique( pModel; pModelDefinition; pMesh; nMesh; pState; pMaterial; dwMeshFlagsDoDraw; tLights; fDistanceToEyeSquared; pEnvDef; fEffectTransitionStr; nShaderType; &pEffect; &ptTechnique; nLOD)"
callee-kept,0079af5f,dx9_ReportTextureUse (dx9_ReportTextureUse),,,2/2,"from 0079b04d: dx9_ReportTextureUse( pTexture )"
callee-kept,0079ef5e,e_TextureGetSizeInMemory (e_TextureGetSizeInMemory),,,3/5,"from 0077d831: e_TextureGetSizeInMemory( pRes->nId; &dwBytes )"
callee-kept,007b3b50,dx9_RenderDrawList (dx9_RenderDrawList),,,10/10,"from 0077a14d: dx9_RenderDrawList( DRAWLIST_PRIMARY )"
callee-kept,0078bb54,e_DPVS_CameraUpdate (e_DPVS_CameraUpdate),,,1/1,"from 007a7047: e_DPVS_CameraUpdate( pViewer->pDPVSCamera; pViewer->nCameraCell; &pViewer->tCameraInfo; e_GetNearClipPlane(); e_GetFarClipPlane() )"
callee-kept,0079d354,sLoadSourceTexture (sLoadSourceTexture),,,1/1,"from 0079b598: sLoadSourceTexture( pTexture; pszFileNameWithPath )"
callee-kept,00781f56,dx9_SetStaticBranchParamsFromFlags (dx9_SetStaticBranchParamsFromFlags),,,3/3,"from 007cc025: dx9_SetStaticBranchParamsFromFlags( pEffect; *ptTechnique; dwBranches )"
callee-kept,0078ef48,e_ModelSetTextureOverrideLODMesh (e_ModelSetTextureOverrideLODMesh),,,1/1,"from 007e92cd: e_ModelSetTextureOverrideLODMesh( pData->nModelID; nLOD; pModelDef->pAdObjectDefs[ nAdIndex ].nMeshIndex; TEXTURE_DIFFUSE; nTextureID; 1 )"
callee-kept,00799749,dxC_UnmapTexture (dxC_UnmapTexture),,,2/2,"from 00795e23: dxC_UnmapTexture( pCanvas->pD3DTexture; nLevel )"
callee-kept,00784f4a,dx9_SHCoefsAddDirectionalLight (dx9_SHCoefsAddDirectionalLight),,,1/1,"from 00784714: dx9_SHCoefsAddDirectionalLight( &tCoefs; vColor; *(VECTOR3*)&vLightDir )"
callee-kept,007a674f,e_ViewerCreate (e_ViewerCreate),,,1/1,"from 0077c832: e_ViewerCreate( gnMainViewerID )"
callee-kept,004ac77c,sGetRoomDestinationPos (sGetRoomDestinationPos),,,5/5,"from 004ac855: sGetRoomDestinationPos( pGame; vStartLoc; nTestEndRoom; nRoomsInPath; vTestDestPos )"
callee-kept,007c6340,sSetSpecularEffectParameters (sSetSpecularEffectParameters),,,1/1,"from 007c64f6: sSetSpecularEffectParameters( pModel; pState; pEffect; pEffectDef; tTechnique; pEnvDef; fEffectTransitionStr; tLights )"
callee-kept,00785b44,BeginTransitionIn (BeginTransitionIn),,,2/2,"from 00785b92: BeginTransitionIn( pInstance; pDef )"
callee-kept,007e2b40,e_ParticleLightingMapCreate (e_ParticleLightingMapCreate),,,1/1,"from 007e2be5: e_ParticleLightingMapCreate(nShadowMapSize)"
callee-kept,0079db39,e_TextureNewFromFile (e_TextureNewFromFile),,,14/14,"from 0049bcff: e_TextureNewFromFile( &pnOverrideIdsOut[LOD_HIGH]; szFile; TEXTURE_GROUP_UNITS; nTextureType )"
callee-kept,0078173a,dx9_EffectSetBool (dx9_EffectSetBool),,,14/14,"from 00781f56: dx9_EffectSetBool( pEffect; tTechnique; EFFECT_PARAM_BRANCH_SPECULAR; 0 != ( dwBranches & (DWORD( 1 << ( EFFECT_PARAM_BRANCH_SPECULAR - EFFECT_FIRST_STATIC_BRANCH_PARAM ) )) ) )"
callee-kept,007a5339,sRestoreShaderTypeEffect (sRestoreShaderTypeEffect),,,1/1,"from 007a575e: sRestoreShaderTypeEffect( pMaterial->nShaderLineId; nShaderType )"
callee-kept,00788b3f,dx9_MakePointLightList (dx9_MakePointLightList),,,3/3,"from 00788d42: dx9_MakePointLightList( tLights.pnLights; tLights.nLights; tBS.C; dwMustHaveFlags; dwDontWantFlags; 256 )"
callee-kept,0077ef3b,sAdInstanceDebugDownloaded (sAdInstanceDebugDownloaded),,,1/1,"from 0077f015: sAdInstanceDebugDownloaded( e_GetRenderFlag( RENDER_FLAG_ADOBJECT_DOWNLOADED ) )"
callee-kept,007c7f33,sGetEnvironment (sGetEnvironment),,,2/2,"from 007cc025: sGetEnvironment( pState; pModel; pEnvDef; bForceCurrentEnv )"
callee-kept,007caf2c,dx9_RenderModelDepth (dx9_RenderModelDepth),,,1/1,"from 007b3b50: dx9_RenderModelDepth( nDrawList; pCommand->nID )"
callee-kept,007d2b2f,dxC_ResetClipPlanes (dxC_ResetClipPlanes),,,1/1,"from 007d23de: dxC_ResetClipPlanes( 1 )"
callee-kept,0078d72b,dx9_ModelClearPerMeshData (dx9_ModelClearPerMeshData),,,2/2,"from 0078d591: dx9_ModelClearPerMeshData( pModel )"
callee-kept,0079272d,e_ModelDefinitionGetSizeInMemory (e_ModelDefinitionGetSizeInMemory),,,1/1,"from 0077d831: e_ModelDefinitionGetSizeInMemory( pRes->nId; &tEngineMem; nLOD; 1 )"
