kind,address,name,file,line,votes,detail
callee-kept,0079cda1,sConvertTextureCheap (sConvertTextureCheap),,,1/1,"from 0079b598: sConvertTextureCheap( pTexture; pDefinition; pDefOverride; pszFileNameWithPath; dwReloadFlags )"
callee-kept,007a89a3,e_CellRemove (e_CellRemove),,,1/1,"from 007a81b9: e_CellRemove( pRegion->nCullCell )"
callee-kept,007be9a0,sLockTextures (sLockTextures),,,1/1,"from 007bf534: sLockTextures( pMovieRes )"
callee-kept,0077f9ac,dx9_LoadShaderType (dx9_LoadShaderType),,,3/3,"from 007a5bd9: dx9_LoadShaderType( pMaterial->nShaderLineId; nShaderType )"
callee-kept,007f39a2,dxC_PassDefinitionGet (dxC_PassDefinitionGet),,,2/2,"from 007ef38b: dxC_PassDefinitionGet( ePassType; ptRPDs[ nContext * NUM_RENDER_PASS_TYPES + nPass ] )"
callee-kept,007bf1a6,sMovieRemove (sMovieRemove),,,1/1,"from 007bf285: sMovieRemove( i; 0 )"
callee-kept,00799199,e_WardrobeCombineDiffuseAndColorMask (e_WardrobeCombineDiffuseAndColorMask),,,1/1,"from 004d1097: e_WardrobeCombineDiffuseAndColorMask( tCostume.ppnTextures[ i ][ LAYER_TEXTURE_DIFFUSE ]; tCostume.ppnTextures[ i ][ LAYER_TEXTURE_COLORMASK ]; tCostume.ppnTextures[ i ][ LAYER_TEXTURE_DIFFUSE ]; &pdwColors[0]; 2; ( pWardrobe->dwFlags & (DWORD)(1 << (11)) ) )"
callee-kept,0079b598,sTextureUpdateFromSource (sTextureUpdateFromSource),,,2/2,"from 0079ba6b: sTextureUpdateFromSource ( pTexture; pDefinition; szSourceFileName; szD3DTextureFileName; pCallbackData->dwTextureFlags; (D3DFORMAT)pCallbackData->nDefaultFormat; pCallbackData->dwReloadFlags | (DWORD)(1 << (6)); pCallbackData->bUseOverride ? &pCallbackData->tDefOverride : 0 )"
callee-kept,007cc99e,dxC_ModelDrawPrepare (dxC_ModelDrawPrepare),,,1/1,"from 007ef38b: dxC_ModelDrawPrepare( tContext; *pModelDraw )"
callee-kept,007e159d,dxC_ModelDrawGet (dxC_ModelDrawGet),,,2/2,"from 007ef38b: dxC_ModelDrawGet( pVM->pModel->nId; pModelDraw )"
callee-kept,007af19c,sUIEngineBufferFree (sUIEngineBufferFree),,,5/5,"from 007aecf2: sUIEngineBufferFree( nEngineBuffer )"
callee-kept,0079a991,dxC_TextureSystemMemNewEmptyInPlace (dxC_TextureSystemMemNewEmptyInPlace),,,2/2,"from 00796372: dxC_TextureSystemMemNewEmptyInPlace( pCanvas )"
callee-kept,0078d591,e_ModelRemovePrivate (e_ModelRemovePrivate),,,3/3,"from 004705a5: e_ModelRemovePrivate( nModelID )"
callee-kept,007c3997,e_AutomapGetItemPos (e_AutomapGetItemPos),,,1/1,"from 005a741a: e_AutomapGetItemPos( nEngineAutomap; vItemPos; vec; tRect )"
callee-kept,007a7591,e_ViewerAddAllModels (e_ViewerAddAllModels),,,3/3,"from 0046c379: e_ViewerAddAllModels( gnMainViewerID )"
callee-kept,00779d9b,e_RenderUIOnly (e_RenderUIOnly),,,3/3,"from 0043859f: e_RenderUIOnly( 0 )"
callee-kept,007d2190,dxC_GetFullViewportDesc (dxC_GetFullViewportDesc),,,1/1,"from 007d21e7: dxC_GetFullViewportDesc( tVP; bSkyboxDepth )"
callee-kept,00782d96,dx9_EffectSetScrollingTextureParams (dx9_EffectSetScrollingTextureParams),,,1/1,"from 007c68ec: dx9_EffectSetScrollingTextureParams( pModel; pMaterial; pEffect; tTechnique )"
callee-kept,007aed8a,e_UICopyToEngineBuffer (e_UICopyToEngineBuffer),,,2/2,"from 00500b7d: e_UICopyToEngineBuffer(prim->m_nLocalBuffer; prim->m_nEngineBuffer; 1 )"
callee-kept,007cad8d,dx9_RenderModelBoundingBox (dx9_RenderModelBoundingBox),,,1/1,"from 007b3b50: dx9_RenderModelBoundingBox( nDrawList; pCommand->nID; 1 )"
callee-kept,0078158a,dx9_EffectSetColor (dx9_EffectSetColor),,,6/6,"from 00783951: dx9_EffectSetColor( pEffect; tTechnique; EFFECT_PARAM_LIGHTAMBIENT; &vLightAmbient)"
callee-kept,004081b3,e_WardrobeCanvasComplete (e_WardrobeCanvasComplete),,,1/1,"from 004d1097: e_WardrobeCanvasComplete( tCostume.ppnTextures[ i ][ j ]; 1 )"
callee-kept,0041b1b2,PlaceBossAtSpawnPoint (PlaceBossAtSpawnPoint),,,1/1,"from 0044c54e: PlaceBossAtSpawnPoint(UnitType)"
